"Home.Postal.Code","Reference.Code","Student.Number","Sex","Module.Language","Module.Duration","Module.City","module.lat","module.long","Module.Country","Home.Region","city","state","latitude","longitude"
"07078","CVKN8811","2015-001-502379","Female","Chinese","Summer","Nanjing","32.0603","118.7969","China","New Jersey","Short Hills","NJ",40.73915,-74.32749
"07078","GEFC7796","2015-001-501522","Female","Chinese","Summer","Deyang","31.1269","104.3979","China","New Jersey","Short Hills","NJ",40.73915,-74.32749
"07104","XGSR8516","2015-001-501499","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New Jersey","Newark","NJ",40.767702,-74.16831
"07670","ARCA7467","2015-001-504456","Male","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","New Jersey","Tenafly","NJ",40.92169,-73.96482
"07670","JPHC2662","2015-001-502855","Female","Korean","Summer","Songdo","37.3839","126.6439","South Korea","New Jersey","Tenafly","NJ",40.92169,-73.96482
"07928","UAGP7527","2015-001-501929","Male","Chinese","Summer","Suzhou","31.299","120.5853","China","New Jersey","Chatham","NJ",40.7332,-74.39736
"08016","EKDC6694","2015-001-501663","Female","Chinese","Year","Beijing","39.9042","116.4074","China","New Jersey","Burlington","NJ",40.06834,-74.84463
"08053","DCAB9576","2015-001-500609","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","New Jersey","Marlton","NJ",39.88488,-74.90416
"08081","XPMM1737","2015-001-503912","Male","Chinese","Summer","Jiaxing","30.7539","120.7585","China","New Jersey","Sicklerville","NJ",39.741385,-74.99035
"08540","PAMN7295","2015-001-502987","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","New Jersey","Princeton","NJ",40.357439,-74.64922
"08840","MSJB9886","2015-001-503445","Female","Russian","Year","Chisinau","47.0105","28.8638","Moldova","New Jersey","Metuchen","NJ",40.543354,-74.3587
"09012","GWAP4668","2015-001-501086","Male","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Armed Forces Europe (Africa, Canada, Europe, Middle East)","Apo","AE",NA,NA
"09173","QCEM2798","2015-001-502971","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Armed Forces Europe (Africa, Canada, Europe, Middle East)","Apo","AE",NA,NA
"10021","GEBG8814","2015-001-502685","Female","Korean","Summer","Songdo","37.3839","126.6439","South Korea","New York","New York","NY",40.76842,-73.96045
"10022","KWKX9418","2015-001-500988","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","New York","NY",40.759015,-73.96732
"10024","FBEU6917","2015-001-503702","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","New York","New York","NY",40.786387,-73.97709
"10025","UQVC6226","2015-001-501858","Female","Persian (Tajik)","Summer","Dushanbe","38.5598","68.787","Tajikistan","New York","New York","NY",40.798502,-73.96811
"10028","QYAV8396","2015-001-501868","Male","Arabic","Year","Marrakesh","31.6295","7.9811","Morocco","New York","New York","NY",40.776777,-73.9541
"10028","GNGZ1477","2015-001-503103","Male","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","New York","New York","NY",40.776777,-73.9541
"10029","HPHP3849","2015-001-509604","Female","Korean","Summer","Songdo","37.3839","126.6439","South Korea","New York","New York","NY",40.791586,-73.94575
"10029","BHMN1765","2015-001-502646","Female","Russian","Summer","Moscow","55.7558","37.6173","Russia","New York","New York","NY",40.791586,-73.94575
"10069","XDBF9267","2015-001-503021","Male","Persian (Tajik)","Summer","Dushanbe","38.5598","68.787","Tajikistan","New York","New York","NY",40.775477,-73.9905
"10075","GAJU4615","2015-001-500555","Male","Persian (Tajik)","Summer","Dushanbe","38.5598","68.787","Tajikistan","New York","New York","NY",40.77,-73.95
"10128","KGPR4235","2015-001-502401","Female","Chinese","Summer","Hangzhou","30.2741","120.1551","China","New York","New York","NY",40.781894,-73.95039
