Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
ZNJU8819,2015-001-503227,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Maryland,20827
ZPJY4568,2015-001-509614,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Illinois,60623
ZPSE8179,2015-001-502134,Male,Russian,Summer,Narva,59.3797,28.1791,Estonia,Alaska,99517
ZQDZ9519,2015-001-503131,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,New York,14047
ZSPU3827,2015-001-502429,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Montana,59803
ZTAU6794,2015-001-503634,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Minnesota,55346
ZWDE1911,2015-001-502271,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,New York,11231
ZWTZ2533,2015-001-500603,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Iowa,50265
ZWWY9233,2015-001-502750,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Illinois,61615
ZWYA9448,2015-001-500497,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,Florida,32233
ZZNK4863,2015-001-503856,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,Illinois,60565
