"language","count"
"Arabic",173
"Azerbaijani",7
"Bangla",13
"Chinese",112
"Hindi",34
"Indonesian",28
"Japanese",29
"Korean",32
"Persian",40
"Punjabi",12
"Russian",32
"Turkish",41
"Urdu",34
